Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;ESP;GDP (current US$);NY.GDP.MKTP.CD;1,24E+14;1,42E+14;1,66E+14;1,96E+14;2,20E+14;2,55E+14;2,96E+14;3,26E+14;3,24E+13;3,71E+14;4,10E+14;4,66E+13;5,91E+13;7,86E+14;9,72E+14;1,15E+14;1,18E+14;1,32E+14;1,60E+14;2,14E+14;2,33E+14;2,03E+14;1,96E+14;1,71E+13;1,72E+14;1,81E+14;2,51E+14;3,19E+13;3,76E+14;4,14E+14;5,36E+13;5,77E+14;6,30E+14;5,25E+14;5,30E+14;6,14E+14;6,42E+14;5,90E+14;6,19E+13;6,34E+14;5,98E+13;6,28E+14;7,09E+14;9,08E+14;1,07E+14;1,15E+14;1,26E+14;1,48E+14;1,64E+13;1,50E+14;1,43E+14;1,49E+14;1,33E+14;1,36E+14;1,38E+14;1,21E+14;1,24E+14;1,32E+14;1,43E+14;1,40E+14;1,29E+14;1,46E+14;1,45E+14;1,62E+14;1,73E+14;;
Estonia;EST;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,01E+13;4,12E+14;4,50E+14;4,79E+14;5,15E+14;5,67E+14;5,76E+14;5,69E+14;6,25E+14;7,37E+13;9,88E+14;1,21E+14;1,41E+14;1,70E+14;2,25E+14;2,43E+14;1,96E+14;1,95E+13;2,33E+14;2,32E+14;2,55E+14;2,71E+14;2,33E+14;2,46E+14;2,75E+14;3,12E+14;3,19E+14;3,18E+14;3,72E+14;3,82E+12;4,15E+14;4,31E+12;;
Ethiopia;ETH;GDP (current US$);NY.GDP.MKTP.CD;1,61E+14;1,68E+13;1,75E+13;1,83E+14;19841291856;21599985912;2324466416;24617620028;26199488648;2768987372;30453544548;3,22E+14;3,52E+14;4,07E+13;4,58E+14;4,58E+14;4,94E+14;5,65E+14;6,01E+14;6,59E+14;7,01E+14;7,51E+14;7,90E+14;8,78E+14;8,30E+14;9,72E+14;1,01E+14;1,08E+13;1,12E+14;1,18E+14;1,25E+14;1,38E+14;1,08E+14;9,05E+14;7,10E+14;7,86E+14;8,76E+14;8,80E+14;8,01E+14;7,89E+14;8,24E+13;8,23E+14;7,85E+14;8,62E+14;1,01E+14;1,24E+14;1,53E+14;1,97E+14;2,71E+14;3,24E+13;2,99E+14;3,20E+12;4,33E+14;4,76E+14;5,56E+14;6,21E+14;6,85E+13;7,64E+14;8,33E+14;9,18E+13;9,87E+14;1,09E+14;1,23E+11;1,36E+14;1,50E+14;;
European Union;EUU;GDP (current US$);NY.GDP.MKTP.CD;2,85E+14;3,17E+14;3,50E+14;3,85E+14;4,27E+14;4,67E+14;5,06E+14;5,38E+14;5,78E+14;6,44E+14;7,29E+14;8,24E+14;9,94E+14;1,29E+14;1,46E+14;1,69E+14;1,78E+14;2,01E+14;2,45E+14;2,96E+14;3,31E+14;2,89E+14;2,79E+14;2,71E+14;2,61E+12;2,69E+14;3,75E+14;4,64E+14;5,09E+12;5,20E+14;6,51E+14;6,73E+14;7,39E+14;6,75E+14;7,16E+14;8,30E+13;8,43E+13;7,74E+14;7,97E+14;7,94E+14;7,29E+14;7,41E+14;8,10E+14;9,96E+14;1,14E+14;1,20E+13;1,28E+14;1,48E+13;1,64E+14;1,48E+13;1,46E+14;1,59E+14;1,47E+14;1,54E+14;1,58E+14;1,37E+14;1,40E+14;1,49E+14;1,61E+14;1,58E+14;1,55E+14;1,75E+14;1,70E+14;1,87E+14;1,95E+14;;
Fragile and conflict affected situations;FCS;GDP (current US$);NY.GDP.MKTP.CD;3,40E+14;3,55E+14;3,93E+13;4,49E+14;4,06E+14;4,46E+14;4,76E+14;4,70E+14;5,19E+14;5,82E+14;6,93E+14;7,14E+14;8,27E+14;1,02E+14;1,54E+14;1,69E+14;2,01E+13;2,21E+14;2,43E+13;3,06E+14;3,88E+14;5,10E+14;4,87E+14;4,20E+14;3,78E+14;3,84E+14;3,54E+14;3,56E+14;3,87E+14;3,83E+14;5,46E+13;3,86E+14;3,44E+14;3,51E+14;3,53E+14;4,31E+14;4,66E+14;5,21E+14;5,35E+13;3,99E+14;4,67E+14;4,57E+14;4,46E+12;4,70E+14;5,96E+14;7,56E+14;9,47E+14;1,16E+14;1,48E+13;1,34E+14;1,60E+14;1,67E+14;1,86E+14;1,83E+14;1,79E+14;1,48E+14;1,36E+14;1,44E+14;1,56E+13;1,81E+13;1,61E+14;1,74E+14;1,92E+14;1,78E+13;1,65E+14;;
Finland;FIN;GDP (current US$);NY.GDP.MKTP.CD;5,28E+14;5,98E+14;6,41E+14;6,96E+14;7,85E+14;8,68E+14;9,31E+14;9,47E+14;8,92E+14;1,02E+14;1,14E+14;1,25E+14;1,47E+14;1,95E+14;2,49E+14;2,95E+14;3,19E+14;3,35E+13;3,63E+14;4,45E+14;5,37E+13;5,24E+14;5,28E+14;5,10E+14;5,29E+14;5,59E+14;7,35E+14;9,16E+14;1,09E+14;1,19E+14;1,41E+14;1,28E+14;1,13E+14;8,91E+14;1,03E+14;1,34E+13;1,32E+14;1,27E+14;1,34E+14;1,35E+14;1,26E+14;1,30E+14;1,40E+14;1,72E+14;1,97E+14;2,05E+14;2,17E+14;2,56E+14;2,86E+14;2,53E+14;2,49E+14;2,75E+14;2,57E+14;2,70E+14;2,73E+14;2,33E+13;2,39E+14;2,54E+11;2,74E+14;2,67E+14;2,70E+14;2,94E+14;2,80E+13;2,95E+13;2,99E+14;;
Fiji;FJI;GDP (current US$);NY.GDP.MKTP.CD;1,12E+14;1,17E+14;1,23E+14;1,29E+14;1,40E+14;1,47E+14;1,51E+14;1,63E+14;1,67E+14;1,82E+14;2,20E+14;2,48E+14;3,17E+14;4,26E+14;5,59E+14;6,84E+14;6,95E+14;7,20E+14;8,29E+14;1,02E+14;1,20E+14;1,24E+14;1,19E+14;1,12E+14;1,18E+14;1,14E+14;1,29E+14;1,18E+14;1,11E+14;1,18E+14;1,34E+14;1,38E+12;1,53E+14;1,64E+13;1,83E+14;1,97E+14;2,13E+14;2,09E+14;1,65E+14;1,94E+14;1,68E+14;1,65E+14;1,83E+14;2,30E+14;2,71E+14;2,98E+14;3,08E+14;3,38E+14;3,52E+14;2,87E+14;3,14E+14;3,78E+14;3,97E+14;4,19E+14;4,86E+14;4,68E+14;4,93E+14;5,35E+14;5,58E+14;5,34E+14;4,23E+13;4,16E+14;4,98E+14;5,48E+14;5,97E+14;;
France;FRA;GDP (current US$);NY.GDP.MKTP.CD;6,20E+14;6,72E+14;7,52E+14;8,42E+14;9,34E+14;1,01E+13;1,09E+14;1,18E+14;1,29E+14;1,41E+13;1,47E+14;1,65E+14;2,02E+14;2,62E+14;2,83E+14;3,57E+14;3,68E+14;4,06E+14;5,02E+14;6,08E+14;6,95E+13;6,09E+14;5,78E+14;5,53E+14;5,25E+14;6,17E+14;7,65E+14;9,26E+14;1,01E+14;1,02E+14;1,26E+14;1,26E+14;1,39E+14;1,31E+14;1,39E+14;1,60E+14;1,60E+14;1,45E+14;1,50E+14;1,49E+14;1,36E+14;1,37E+14;1,49E+14;1,84E+14;2,11E+14;2,19E+14;2,32E+14;2,66E+14;2,93E+14;2,70E+14;2,65E+14;2,87E+14;2,68E+14;2,82E+14;2,86E+14;2,44E+13;2,47E+14;2,59E+14;2,78E+14;2,72E+14;2,65E+14;2,97E+14;2,79E+14;3,06E+14;3,16E+14;;
Faroe Islands;FRO;GDP (current US$);NY.GDP.MKTP.CD;;;;;;5,80E+14;6,44E+14;6,62E+14;6,52E+14;7,01E+14;8,49E+14;9,92E+14;1,19E+14;1,61E+14;1,97E+14;2,27E+14;2,70E+14;3,48E+14;3,98E+14;4,49E+14;4,93E+14;4,56E+14;4,44E+14;4,87E+14;4,26E+14;4,59E+14;6,89E+14;8,87E+14;9,69E+14;8,72E+14;9,61E+14;9,09E+13;9,13E+14;7,61E+14;7,59E+14;9,01E+14;9,90E+14;9,34E+14;1,10E+14;1,13E+14;1,07E+14;1,16E+14;1,28E+14;1,50E+14;1,72E+14;1,76E+14;2,02E+14;2,34E+14;2,49E+14;2,30E+14;2,33E+14;2,51E+14;2,43E+14;2,69E+14;2,91E+14;2,57E+14;2,81E+14;2,98E+14;3,19E+14;3,27E+14;3,27E+13;3,70E+14;3,62E+14;3,94E+13;4,05E+14;;
Micronesia, Fed. Sts.;FSM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;19885926;21783158;25100928;34821467;46095175;46119184;46813193;47305560;53656834;60270778;64186644;76472529;80055706;84110353;84676118;101931941;112210000;116700000;124700000;135200000;147200000;166200000;178100000;198400000;202500000;2,20E+14;2,17E+14;2,04E+14;2,17E+14;2,17E+14;2,30E+14;2,36E+14;2,38E+14;2,41E+14;2,36E+14;2,46E+14;2,49E+14;2,52E+14;2,58E+14;2,75E+14;2,91E+14;3,07E+14;3,23E+14;3,13E+14;3,14E+14;3,10E+14;325000000;359000000;392000000;394000000;372902700;391601900;415956900;441469400;4,71E+14;;
Gabon;GAB;GDP (current US$);NY.GDP.MKTP.CD;1,41E+14;1,68E+14;1,83E+14;1,54E+14;2,16E+14;2,26E+14;2,46E+14;2,72E+14;2,94E+14;3,18E+14;3,24E+14;3,82E+14;4,31E+14;7,23E+14;1,54E+14;2,16E+14;3,01E+14;2,81E+14;2,39E+14;3,03E+14;4,28E+14;3,86E+14;3,62E+14;3,39E+14;3,56E+14;3,34E+14;3,40E+14;3,28E+14;3,83E+14;4,19E+14;5,95E+14;5,40E+14;5,59E+14;4,38E+14;4,19E+14;4,96E+14;5,69E+14;5,33E+14;4,48E+14;4,66E+13;5,08E+14;5,02E+13;5,34E+14;6,51E+14;7,77E+14;9,58E+14;1,03E+14;1,25E+14;1,56E+14;1,21E+14;1,44E+14;1,82E+14;1,72E+14;1,76E+14;1,82E+14;1,44E+14;1,40E+14;1,49E+14;1,69E+14;1,69E+13;1,53E+14;1,94E+14;2,04E+14;1,94E+14;2,09E+14;;
United Kingdom;GBR;GDP (current US$);NY.GDP.MKTP.CD;7,32E+14;7,77E+14;8,12E+14;8,66E+14;9,44E+14;1,02E+14;1,09E+14;1,13E+14;1,08E+14;1,16E+14;1,31E+12;1,48E+13;1,70E+14;1,93E+14;2,06E+14;2,42E+14;2,33E+14;2,63E+14;3,36E+14;4,39E+14;5,65E+14;5,41E+14;5,15E+13;4,90E+14;4,61E+14;4,89E+14;6,01E+14;7,45E+14;9,10E+14;9,27E+14;1,09E+14;1,14E+14;1,18E+14;1,06E+14;1,14E+14;1,35E+14;1,43E+14;1,57E+14;1,66E+14;1,69E+13;1,67E+14;1,66E+14;1,79E+14;2,06E+14;2,43E+14;2,55E+14;2,72E+14;3,10E+14;2,95E+14;2,43E+14;2,50E+14;2,68E+14;2,72E+14;2,80E+14;3,09E+14;2,95E+14;2,71E+14;2,70E+13;2,90E+14;2,88E+13;2,72E+14;3,19E+14;3,18E+14;3,42E+14;3,69E+14;;
Georgia;GEO;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,32E+13;8,83E+14;8,90E+14;7,74E+14;6,32E+14;3,69E+14;2,70E+14;2,51E+14;2,69E+14;3,09E+13;3,51E+14;3,61E+14;2,80E+14;3,06E+14;3,22E+13;3,40E+14;3,99E+14;5,13E+14;6,41E+14;7,75E+14;1,02E+14;1,28E+14;1,08E+14;1,24E+14;1,55E+14;1,69E+14;1,75E+14;1,80E+14;1,52E+14;1,54E+14;1,65E+14;1,79E+14;1,76E+14;1,60E+12;1,89E+14;2,50E+13;3,08E+14;3,42E+14;;
Ghana;GHA;GDP (current US$);NY.GDP.MKTP.CD;1,22E+14;1,30E+14;1,38E+14;1,54E+14;1,73E+14;2,05E+13;2,13E+14;1,75E+13;1,67E+14;1,96E+13;2,22E+14;2,42E+14;2,11E+14;3,01E+14;2,89E+13;2,81E+14;2,77E+14;3,19E+14;3,66E+14;4,02E+14;4,45E+14;4,22E+14;4,04E+13;4,06E+14;4,41E+14;4,50E+14;5,74E+14;5,07E+14;5,20E+14;5,25E+12;5,89E+14;6,60E+14;6,42E+14;5,97E+14;5,45E+14;6,46E+14;6,93E+14;6,89E+14;7,48E+14;7,72E+14;4,98E+14;5,31E+13;6,17E+14;7,63E+14;8,88E+14;1,07E+14;2,09E+14;2,48E+14;2,87E+14;2,60E+14;3,22E+14;3,93E+13;4,13E+13;6,28E+13;5,47E+14;4,94E+14;5,61E+14;6,04E+14;6,73E+14;6,84E+14;7,00E+14;7,95E+14;7,39E+14;8,05E+14;8,23E+14;;
Gibraltar;GIB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;3,22E+14;3,59E+14;4,20E+14;5,15E+14;5,69E+14;6,10E+14;6,76E+13;6,91E+14;8,09E+13;8,88E+14;9,75E+14;9,65E+14;1,19E+14;1,51E+14;1,84E+14;2,28E+14;2,91E+12;2,98E+14;3,48E+14;3,55E+14;3,89E+14;4,40E+13;4,79E+14;4,78E+14;4,93E+14;5,39E+14;5,64E+14;5,52E+13;5,23E+13;5,05E+14;4,37E+14;4,13E+14;4,30E+14;5,03E+14;5,30E+14;4,28E+14;4,22E+14;6,28E+14;6,96E+14;6,72E+14;6,85E+14;6,79E+14;7,64E+14;8,38E+14;8,78E+14;8,79E+14;8,60E+14;1,03E+14;1,19E+14;1,34E+14;1,41E+14;1,71E+14;1,99E+14;2,24E+14;2,50E+14;;
Gambia, The;GMB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;4,42E+14;4,67E+14;4,12E+14;4,52E+14;5,23E+14;5,57E+13;5,92E+14;7,52E+14;9,58E+14;1,15E+14;1,12E+14;1,38E+13;1,72E+14;2,07E+14;2,41E+14;2,19E+14;2,16E+14;2,13E+14;1,77E+14;2,26E+14;1,86E+14;2,21E+14;2,67E+14;2,84E+14;3,17E+14;6,90E+14;7,14E+14;7,55E+14;7,46E+14;7,86E+14;8,48E+13;8,04E+14;8,40E+14;8,15E+14;7,83E+13;6,87E+14;5,78E+14;4,87E+14;9,62E+14;1,03E+14;1,05E+14;1,28E+13;1,56E+14;1,45E+14;1,54E+14;1,41E+14;1,42E+14;1,38E+14;1,23E+14;1,38E+14;1,48E+14;1,50E+14;1,67E+14;1,81E+14;1,81E+14;2,01E+14;2,20E+14;2,38E+14;2,40E+14;;
Guinea-Bissau;GNB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;2,05E+13;2,04E+14;2,28E+13;2,32E+14;2,57E+14;2,83E+13;2,92E+14;2,99E+14;3,19E+14;3,08E+14;2,88E+14;4,02E+14;4,30E+14;4,25E+14;3,60E+14;3,74E+14;3,39E+14;4,52E+13;4,28E+14;5,54E+14;6,34E+14;6,68E+14;5,88E+13;6,16E+14;6,13E+14;6,60E+14;7,03E+14;6,98E+14;5,91E+14;5,79E+14;3,91E+14;4,13E+14;4,67E+14;5,54E+14;5,82E+14;6,40E+14;6,35E+14;7,53E+14;9,53E+14;8,90E+14;9,40E+14;1,16E+14;1,05E+14;1,11E+14;1,14E+13;1,15E+14;1,25E+14;1,47E+14;1,55E+14;1,60E+14;1,71E+14;1,91E+14;1,86E+14;2,13E+14;2,22E+14;;
Equatorial Guinea;GNQ;GDP (current US$);NY.GDP.MKTP.CD;;;3,73E+14;4,43E+14;51915000;6,47E+14;69110000;7,23E+14;6,75E+14;6,72E+14;6,63E+14;6,49E+13;6,54E+13;8,12E+14;9,42E+14;1,04E+14;1,04E+13;1,04E+14;;;5,06E+14;3,67E+14;4,43E+13;4,44E+12;5,03E+14;6,21E+14;7,64E+14;9,33E+12;1,01E+14;8,83E+13;1,12E+14;1,11E+14;1,35E+13;1,36E+14;1,01E+14;1,42E+14;2,32E+14;4,42E+13;3,71E+14;6,21E+14;1,05E+14;1,46E+14;1,81E+14;2,48E+14;4,41E+14;8,22E+14;1,01E+14;1,31E+14;1,97E+14;1,50E+14;1,63E+14;2,14E+14;2,24E+14;2,19E+14;2,18E+14;1,32E+14;1,12E+14;1,22E+14;1,31E+14;1,14E+14;9,89E+13;1,22E+14;1,37E+14;1,23E+13;1,28E+14;;
Greece;GRC;GDP (current US$);NY.GDP.MKTP.CD;4,27E+14;4,89E+14;5,14E+14;5,81E+14;6,58E+14;7,58E+14;8,47E+14;9,15E+12;9,95E+14;1,15E+14;1,30E+14;1,44E+14;1,67E+14;2,20E+14;2,50E+14;2,81E+12;3,07E+13;3,57E+14;4,37E+14;5,37E+14;5,60E+14;5,16E+14;5,39E+14;4,87E+14;4,74E+13;4,72E+14;5,56E+14;6,47E+14;7,52E+14;7,81E+14;9,65E+14;1,04E+14;1,15E+14;1,07E+13;1,15E+14;1,35E+14;1,43E+13;1,39E+14;1,40E+14;1,37E+14;1,26E+14;1,32E+13;1,50E+14;1,97E+14;2,35E+14;2,42E+14;2,69E+14;3,14E+14;3,51E+14;3,27E+14;2,96E+14;2,83E+14;2,39E+14;2,37E+14;2,34E+14;1,95E+14;1,93E+13;2,00E+14;2,13E+14;2,07E+14;1,91E+14;2,18E+14;2,18E+13;2,43E+14;2,56E+14;;
Grenada;GRD;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;7,15E+14;8,83E+14;1,02E+14;1,11E+14;1,16E+14;125435590;1,32E+14;1,46E+14;1,68E+14;1,88E+14;2,15E+13;2,36E+14;2,67E+14;2,78E+14;3,01E+14;3,10E+14;3,10E+14;3,25E+14;3,42E+14;3,67E+14;3,92E+14;4,46E+14;4,82E+13;5,20E+13;5,20E+14;5,40E+14;5,91E+14;5,99E+14;6,96E+14;6,99E+14;7,59E+14;8,26E+14;7,71E+14;7,71E+14;7,79E+14;8,00E+14;8,43E+14;9,11E+14;9,97E+14;1,06E+14;1,13E+14;1,17E+14;1,21E+14;1,04E+14;1,12E+14;1,22E+14;1,34E+14;1,37E+14;;
Greenland;GRL;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;6,95E+14;8,85E+14;1,06E+14;1,40E+14;1,70E+14;2,11E+14;2,41E+12;2,82E+14;3,56E+13;4,21E+14;4,76E+14;4,36E+14;4,02E+14;4,16E+14;3,79E+14;4,13E+14;6,03E+14;7,87E+14;8,99E+14;9,30E+14;1,02E+14;1,02E+14;1,04E+14;9,27E+13;1,01E+14;1,21E+14;1,20E+14;1,07E+14;1,15E+14;1,13E+14;1,07E+14;1,09E+13;1,17E+14;1,56E+14;1,82E+14;1,85E+14;2,01E+14;2,25E+13;2,50E+14;2,53E+14;2,50E+14;2,68E+14;2,61E+14;2,68E+14;2,84E+14;2,50E+14;2,71E+14;2,85E+14;3,06E+14;3,00E+14;3,09E+14;3,29E+14;3,15E+14;3,33E+14;;;
Guatemala;GTM;GDP (current US$);NY.GDP.MKTP.CD;1043599900;1076699900;1143600000;1262800000;1299099900;1331399900;1390700000;1453500000;1610500000;1715399900;1904000000;1984800000;2101300000;2569200100;3161499900;3645900000;4365300200;5480500200;6070600200;6902600200;7878700000;8607500300;8716999700;9050000400;9470000100;9,72E+14;7,23E+14;7084399840;7,84E+14;8,41E+14;7,65E+14;9,41E+14;1,04E+14;1,14E+14;1,30E+14;1,47E+14;1,57E+14;1,78E+14;1,94E+14;1,83E+14;1,93E+14;1,84E+14;2,04E+13;2,16E+14;2,36E+14;2,68E+13;2,97E+14;3,36E+14;3,85E+14;3,71E+14;4,07E+14;4,69E+14;4,96E+14;5,30E+14;5,79E+14;6,22E+14;6,61E+14;7,17E+14;7,33E+14;7,72E+14;7,77E+14;8,65E+14;9,56E+14;1,04E+14;1,13E+14;;
Guam;GUM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3394000000;3569000000;3869000000;4213000000;4238000000;4397000000;4658000000;4828000000;4949000000;4984000000;5265000000;5399000000;5610000000;5799000000;5901000000;6013000000;6051000000;6355000000;5916000000;6234000000;6910000000;;;;
Guyana;GUY;GDP (current US$);NY.GDP.MKTP.CD;1,70E+14;1,86E+14;1,95E+14;1,76E+14;1,95E+14;2,13E+14;2,29E+14;2,50E+14;229750000;249300000;267800000;282050000;2,85E+14;3,07E+14;4,34E+14;4,95E+14;454440000;449880000;507080000;530440000;603200000;5,70E+14;482000000;4,89E+14;4,38E+14;4,53E+14;5,05E+14;3,55E+14;413799990;3,80E+14;3,97E+14;3,49E+14;3,74E+14;4,54E+14;5,41E+14;6,22E+14;7,05E+14;7,49E+13;7,18E+14;6,95E+14;7,13E+14;7,12E+14;7,26E+14;7,43E+14;7,88E+14;8,25E+14;2,38E+13;2,73E+14;3,03E+14;3,17E+14;3,43E+14;3,69E+14;4,06E+14;4,17E+14;4,13E+13;4,28E+13;4,48E+14;4,75E+14;4,79E+14;5,17E+14;5,47E+14;8,04E+14;1,47E+14;1,69E+14;2,47E+14;;
High income;HIC;GDP (current US$);NY.GDP.MKTP.CD;1,09E+14;1,17E+14;1,26E+14;1,36E+14;1,48E+14;1,61E+14;1,76E+14;1,88E+14;2,04E+14;2,25E+13;2,47E+14;2,75E+14;3,19E+13;3,87E+14;4,38E+14;4,88E+14;5,32E+14;6,02E+13;7,23E+14;8,36E+14;9,33E+14;9,47E+14;9,38E+14;9,69E+14;1,01E+14;1,06E+14;1,29E+14;1,49E+14;1,68E+14;1,75E+13;1,96E+14;2,07E+14;2,21E+14;2,23E+14;2,39E+14;2,65E+14;2,67E+14;2,63E+14;2,62E+14;2,75E+14;2,81E+14;2,79E+13;2,91E+14;3,27E+14;3,65E+14;3,87E+14;4,11E+14;4,53E+13;4,85E+14;4,51E+14;4,75E+13;5,18E+14;5,19E+14;5,27E+13;5,36E+14;5,00E+14;5,09E+14;5,35E+14;5,69E+14;5,75E+14;5,59E+14;6,27E+14;6,51E+14;6,84E+14;7,13E+14;;
Hong Kong SAR, China;HKG;GDP (current US$);NY.GDP.MKTP.CD;1,32E+14;1,38E+14;1,61E+14;1,94E+14;2,21E+14;2,44E+14;2,49E+14;2,69E+14;2,72E+14;3,19E+14;3,80E+14;4,48E+14;5,71E+14;8,03E+14;9,39E+14;1,00E+14;1,29E+14;1,57E+14;1,83E+14;2,25E+12;2,89E+14;3,11E+14;3,23E+14;2,99E+13;3,35E+14;3,57E+14;4,11E+14;5,06E+14;5,97E+14;6,88E+14;7,69E+14;8,90E+14;1,04E+14;1,20E+11;1,36E+13;1,45E+14;1,60E+14;1,77E+14;1,69E+14;1,66E+14;1,72E+14;1,69E+14;1,66E+14;1,61E+14;1,69E+14;1,82E+14;1,94E+14;2,12E+12;2,19E+14;2,14E+14;2,29E+14;2,49E+14;2,63E+14;2,76E+14;2,91E+14;3,09E+14;3,21E+14;3,41E+14;3,62E+14;3,63E+14;3,45E+14;3,69E+14;3,59E+14;3,81E+14;4,07E+14;;
Honduras;HND;GDP (current US$);NY.GDP.MKTP.CD;475650000;503300000;532450000;553500000;591100000;651050000;692150000;750950000;815450000;844400000;904400000;958450000;1,03E+14;1,13E+14;1243000000;1330050000;1589300000;1900700000;2393650000;2778900000;3184400000;3501800000;3619500000;3840550000;4029900000;4328300000;4706100000;5024800000;4,89E+14;4,38E+14;3,73E+14;3,70E+14;4,12E+14;4,19E+14;4,11E+14;4,67E+14;4,80E+14;5,57E+14;6,16E+14;6,39E+14;7,19E+14;7,65E+13;7,86E+14;8,23E+14;8,87E+13;9,76E+14;1,09E+14;1,24E+14;1,39E+14;1,46E+14;1,58E+14;1,77E+14;1,85E+14;1,85E+13;1,98E+14;2,10E+13;2,17E+14;2,31E+14;2,41E+13;2,49E+14;2,34E+13;2,81E+14;3,14E+14;3,44E+14;3,71E+14;;
Heavily indebted poor countries (HIPC);HPC;GDP (current US$);NY.GDP.MKTP.CD;2,19E+13;2,26E+14;2,46E+14;2,89E+14;2,69E+14;3,04E+14;3,30E+14;3,25E+14;3,50E+14;3,85E+13;3,72E+14;4,01E+14;4,46E+14;5,46E+14;6,43E+14;7,24E+13;7,76E+12;8,99E+14;1,05E+14;1,15E+14;1,27E+14;1,28E+13;1,29E+13;1,28E+14;1,31E+14;1,37E+14;1,26E+14;1,35E+14;1,42E+14;1,44E+14;1,65E+14;1,80E+14;1,37E+14;1,42E+14;1,22E+14;1,41E+14;1,55E+14;1,62E+14;1,68E+14;1,68E+14;1,82E+14;1,76E+14;1,91E+12;2,17E+14;2,50E+14;2,89E+13;3,39E+13;4,04E+14;4,82E+14;4,75E+14;5,19E+14;5,74E+14;5,95E+14;6,67E+14;7,05E+13;6,75E+14;6,77E+14;7,35E+14;7,90E+13;8,11E+14;8,16E+14;9,24E+12;1,00E+13;1,06E+14;1,15E+14;;
Croatia;HRV;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,57E+14;1,88E+14;1,06E+14;1,13E+14;1,51E+14;2,28E+14;2,42E+14;2,42E+14;2,59E+14;2,38E+14;2,21E+13;2,31E+14;2,68E+14;3,52E+14;4,18E+14;4,50E+13;4,96E+14;5,93E+14;6,85E+14;6,23E+14;5,90E+14;6,29E+14;5,75E+13;5,98E+14;5,96E+14;5,10E+14;5,27E+14;5,62E+14;6,17E+14;6,15E+14;5,80E+14;6,90E+14;7,12E+14;8,56E+14;9,30E+14;;
Haiti;HTI;GDP (current US$);NY.GDP.MKTP.CD;273187200;271066000;281896800;294883400;325281200;353251800;368948600;369124200;367968800;391820400;331200000;362800000;3,72E+14;4,67E+14;5,65E+14;681400000;879000000;947000000;974200000;1080600000;1383800000;1479400000;1474200000;1623600000;1816200000;2009400000;2318000000;2047200000;2613926800;2736243800;3096289800;3,47E+14;2,26E+14;1,88E+14;2,17E+14;2,81E+14;2,91E+14;3,34E+14;3,72E+14;4,15E+14;6,81E+13;6,33E+14;6,21E+13;5,07E+14;6,09E+13;7,03E+14;7,64E+14;9,23E+14;1,04E+14;1,16E+14;1,19E+14;1,30E+14;1,37E+14;1,49E+14;1,51E+14;1,48E+14;1,41E+14;1,51E+14;1,64E+14;1,50E+14;1,45E+14;2,09E+14;2,03E+14;1,99E+14;2,52E+14;;
