Code,Name,Year,GDP,GCF,POP,LIFE_EXP,GOV_EXP,TRADE,cdd,hd30,r20mm
FRA,France,1993,1670081815758.79,323048634655.73,0.43494888453875,77.3,23.5592092126581,41.7256163123108,113.45,4.08,7.07
FRA,France,1994,1709890902349.41,345052421830.302,0.374521801846337,77.6487804878049,23.3227822524955,43.7513491504061,89.62,12.55,6.99
FRA,France,1995,1749300344479.7,358148161457.01,0.364159563395629,77.7512195121951,23.2620235385924,45.4316616938638,101.81,10.98,5.61
FRA,France,1996,1773739467493.06,344999824718.944,0.357448008376034,77.9536585365854,23.5693022234551,46.1124801589641,105.07,4.98,6.73
FRA,France,1997,1818562957062.05,351784956650.928,0.356761847855923,78.3048780487805,23.4573330897567,49.803453474736,112.28,6.54,5.01
FRA,France,1998,1881350558837.76,388527960190.204,0.37054023067343,78.6048780487805,22.7089061303217,51.4214328030771,117.23,9.51,4.56
FRA,France,1999,1945303460549.75,415506618478.019,0.515860143523548,78.7560975609756,22.7259043484992,51.6706614638734,86.09,5.63,7.29
FRA,France,2000,2025858476151.37,451188477909.82,0.686335719566776,79.0560975609756,22.4026551978725,57.7860470318197,95.47,7.19,6.64
FRA,France,2001,2064338989612.96,453460924080.852,0.7289939490983,79.1585365853659,22.259556730345,56.8932328560722,93.92,10.15,6.32
FRA,France,2002,2086380974762.6,444229346786.386,0.727033002641047,79.2609756097561,22.857888310331,55.1325248503102,94.3,6.51,6.62
FRA,France,2003,2106573536968.08,447455024104.809,0.705638836747311,79.1146341463415,23.2625915298209,52.5988822870657,120.88,26.09,5.13
FRA,France,2004,2166995343501.89,477981530088.967,0.732625502527391,80.1634146341463,23.1521854419976,53.7497648292028,101.58,8.15,4.71
FRA,France,2005,2207920477337.34,491866330952.865,0.751885116821619,80.1634146341463,23.1175353538954,55.8228361241299,107.27,13.96,3.8
FRA,France,2006,2267844862926.15,514244885616.715,0.696338574828463,80.8121951219512,22.7854420708586,57.8692775292673,106.92,16.31,5.99
FRA,France,2007,2325232266328.63,545429116909.9,0.618225682593305,81.1121951219512,22.4734674757104,58.1525611309659,111.11,4.18,5.11
FRA,France,2008,2334072135222.36,546327868743.142,0.558020613148126,81.2146341463415,22.5895511441534,59.1797928411748,99.63,5.17,6.18
FRA,France,2009,2268145064848.79,471077610247.435,0.513351013325229,81.4146341463415,24.0880419778451,52.1991123027613,106.11,11.32,5.1899999999999995
FRA,France,2010,2313515332182.54,485827074160.673,0.492976371032656,81.6634146341463,23.9798091765185,56.587555247796,99.03,9.23,5.63
FRA,France,2011,2369909039106.43,520366645631.295,0.482667411007127,82.1146341463415,23.7010905265759,60.6056354816406,122.51,7.78,4.99
FRA,France,2012,2374265767668.09,504504904434.73,0.483714919435185,81.9682926829268,23.9564328020669,61.6589570771102,102.81,11.46,6.4399999999999995
FRA,France,2013,2392826743357.49,507286381894.211,0.516915013016667,82.219512195122,24.0757206386355,61.8192338733962,97.3,11,7.61
FRA,France,2014,2416703156974.4,521730824388.302,0.474847846171767,82.719512195122,24.081442589149,62.1992669379507,97.84,4.84,6.32
FRA,France,2015,2442483452642.5,530422941449.179,0.355569240058298,82.3219512195122,23.7757617692292,63.5046871956484,113.51,18.47,5.45
FRA,France,2016,2463489569347.31,532759487081.965,0.263868788565368,82.5731707317073,23.7569423186251,63.3427564383351,101.02,13.95,5.66
FRA,France,2017,2514819204088.14,555313818573.235,0.29020211635109,82.5756097560976,23.7013842025535,65.3958481559711,116.47,15.81,4.7
FRA,France,2018,2556210832760.02,572758596884.803,0.358494581816163,82.6756097560976,23.3500758354509,66.8022607812266,106.38,17.169999999999998,6.34
FRA,France,2019,2608036638906.12,594040454721.772,0.332559129027963,82.8268292682927,23.0348422675243,66.4289771741449,110.92,20.91,6.14
FRA,France,2020,2413981867676.36,552812789329.782,0.324557781035362,82.1756097560976,24.8398357365701,58.8388907240647,112.06,18.78,5.2
FRA,France,2021,2580120255051.75,592936751917.831,0.356902332389048,82.3243902439024,24.3515984176563,63.788482630872,111.1,7.93,6
FRA,France,2022,2650215998256.03,602906675540.921,0.502320929337976,82.1292682926829,23.8742904476312,75.9630077981996,112.11,27.39,4.9399999999999995
FRA,France,2023,2688358302961.22,595863054425.484,0.275093143443794,82.8317073170732,23.0901262196221,70.6261450610225,110.25,20.12,5.49
FRA,France,2024,2720362347819.81,568681013669.297,0.261995241898747,82.9804878048781,21.898315014902337,68.1081875443744,87.28,13.31,8.35
GBR,United Kingdom,1960,802958140600.34,180199674317.698,0.6839857522015778,71.1268292682927,17.5683769833684,40.46187649429876,78.83,0.06,2.99
GBR,United Kingdom,1961,824648562815.947,182701867073.28125,0.760459938521921,70.8780487804878,17.5939492166397,40.283123245989216,104.33,0.08,2.44
GBR,United Kingdom,1962,833708945747.554,182212571489.1188,0.848661387731873,70.9268292682927,17.9120239859393,40.46085494395824,97.06,0.06,2.89
GBR,United Kingdom,1963,874223408559.986,188307768035.15256,0.748366448717305,70.8268292682927,17.2147598253275,40.53883787793629,92.83,0.06,1.75
GBR,United Kingdom,1964,923134556203.191,194146194378.03455,0.650257748756685,71.6243902439024,16.8118308271792,41.42386430845022,96.66,0.05,2.84
GBR,United Kingdom,1965,942800397244.693,192522771104.66806,0.642468779443559,71.6243902439024,17.6087719298246,41.764645107864105,82.02,0.05,3.6
GBR,United Kingdom,1966,957578319010.926,191715838006.2907,0.55130324946533,71.5731707317073,17.9594929853518,41.93845613637824,82.26,0.03,2.99
GBR,United Kingdom,1967,984158181579.124,195484351581.84796,0.538543769542258,72.1243902439024,18.7741186523437,43.16246564086762,84.7,0.03,3.48
GBR,United Kingdom,1968,1038018137931.52,193354422832.52414,0.486768279639266,71.7243902439025,18.2075456570156,41.913833556873044,93.04,0.02,4.3100000000000005
