Code,Name,Year,GDP,emp,cn,USDfx,hd30,cdd,r20mm,media_hd30,classe_clima
ESP,Spain,2011,1887016.875,18.9978351593018,11563922,0.719207,13.914516129032258,20.303225806451593,-1.0246774193548398,37.2664,Mite
ESP,Spain,2012,1832951.75,18.1855907440186,11686758,0.778848,20.92698412698413,14.706031746031757,-0.2506349206349219,37.2664,Mite
ESP,Spain,2013,1806789.5,17.7899723052979,11928171,0.753234,11.337031249999995,3.1460937499999773,1.0132812499999997,37.2664,Mite
ESP,Spain,2014,1834261.5,17.9778270721436,11782955,0.753941,5.471538461538458,-1.2247692307692546,0.3379999999999992,37.2664,Mite
ESP,Spain,2015,1908748.5,18.5016555786133,11902534,0.901896,19.66893939393939,15.418030303030292,-0.8981818181818197,37.2664,Mite
ESP,Spain,2016,1964391.375,18.8996028900147,12361840,0.90389,21.266716417910445,-12.18731343283585,0.7011940298507451,37.2664,Mite
ESP,Spain,2017,2021281,19.4177379608154,12436180,0.887039,24.432058823529403,28.300294117647013,-0.8560294117647067,37.2664,Mite
ESP,Spain,2018,2069698.875,19.8492450714111,12419885,0.847582,13.119130434782612,-20.74463768115945,1.216086956521739,37.2664,Mite
ESP,Spain,2019,2110289.5,20.3613681793213,12985419,0.893409,15.543857142857142,12.543571428571395,0.4397142857142846,37.2664,Mite
ESP,Spain,2020,1879422.25,19.4599609375,12958272,0.876828,15.679859154929574,-3.5161971830986545,-0.2270422535211276,37.2664,Mite
ESP,Spain,2021,2005026.75,19.9853763580322,13126397,0.845982,8.70722222222222,0.4179166666666276,0.31847222222222094,37.2664,Mite
ESP,Spain,2022,2128923.75,20.5351524353027,13357267,0.951774,30.049863013698623,-0.5543835616438741,-0.2875342465753432,37.2664,Mite
ESP,Spain,2023,2185886.5,20.927074432373,13514154,0.925053,20.499054054054056,28.22891891891888,-0.05675675675675773,37.2664,Mite
ITA,Italy,1952,449655.15625,19.8385143280029,1068648.25,0.3227443,3.023333333333337,-0.666666666666643,-1.75,17.7872,Mite
ITA,Italy,1953,477373.78125,20.0496120452881,1114638.5,0.3227029,-8.487499999999997,8.335000000000036,0.15000000000000036,17.7872,Mite
ITA,Italy,1954,496921.3125,20.3226585388184,1167833.875,0.3227339,-9.765999999999996,-9.259999999999977,0.30400000000000027,17.7872,Mite
ITA,Italy,1955,523501.9375,20.3143501281738,1235041.125,0.325165,-9.263333333333332,-15.499999999999972,-0.5883333333333329,17.7872,Mite
ITA,Italy,1956,545057,20.3831329345703,1304881.25,0.324654,0.0228571428571449,12.27428571428574,-0.12714285714285722,17.7872,Mite
ITA,Italy,1957,565770.0625,20.4726867675781,1376438.5,0.324,-2.5174999999999983,-2.4812499999999744,1.2887500000000005,17.7872,Mite
ITA,Italy,1958,592311.1875,20.5441455841064,1452569.875,0.322337,-1.7666666666666675,-8.214444444444425,1.4211111111111112,17.7872,Mite
ITA,Italy,1959,630935.4375,20.5735340118408,1539107.125,0.320583,-5.099999999999998,-10.443999999999974,1.3870000000000022,17.7872,Mite
ITA,Italy,1960,682835.9375,20.6565742492676,1642009.25,0.320541,-3.209090909090907,-19.339999999999975,3.797272727272727,17.7872,Mite
ITA,Italy,1961,739581.25,20.7880172729492,1758831.875,0.320645,2.998333333333333,13.20916666666669,-0.9283333333333328,17.7872,Mite
ITA,Italy,1962,784977.625,20.7273464202881,1886931.875,0.320551,12.23846153846154,-4.320769230769216,-0.8846153846153832,17.7872,Mite
ITA,Italy,1963,828482.3125,20.3835792541504,2019788.25,0.320975,-3.6414285714285697,-16.909999999999982,1.6485714285714297,17.7872,Mite
ITA,Italy,1964,851180.4375,20.3127975463867,2131895,0.32243,-6.086666666666668,-3.0893333333333146,0.42799999999999905,17.7872,Mite
ITA,Italy,1965,879553.1875,19.817361831665,2223365,0.322642,-2.8375000000000004,-4.780624999999972,0.4293749999999985,17.7872,Mite
ITA,Italy,1966,932515.5625,19.4938144683838,2322627,0.32245,-6.482352941176472,-20.979411764705873,2.879411764705882,17.7872,Mite
ITA,Italy,1967,998718.5,19.7364826202393,2444318,0.322254,-1.6927777777777813,0.05722222222225071,-0.6333333333333346,17.7872,Mite
ITA,Italy,1968,1064921.5,19.7263717651367,2573245.5,0.321872,-8.093157894736843,-18.978421052631575,0.8778947368421033,17.7872,Mite
ITA,Italy,1969,1129232.75,19.5848121643066,2727865.5,0.323908,-7.0045,-12.092,-0.02100000000000079,17.7872,Mite
ITA,Italy,1970,1271096.25,19.6758079528809,2969152,0.323785,-0.490000000000002,-4.201904761904771,-0.839047619047621,17.7872,Mite
ITA,Italy,1971,1294206.125,19.6728343963623,3173312.75,0.319345,1.8899999999999988,1.2390909090908906,-0.43818181818181934,17.7872,Mite
ITA,Italy,1972,1341968.625,19.6226406097412,3350468.5,0.301456,-7.862608695652176,-26.286086956521743,3.426086956521738,17.7872,Mite
ITA,Italy,1973,1437595.5,19.8837413787842,3543404.75,0.30079,-2.321666666666669,6.117916666666673,-0.30083333333333506,17.7872,Mite
ITA,Italy,1974,1516665.25,20.1719627380371,3750992.75,0.336194,-1.7488000000000046,-3.227599999999981,-0.5480000000000018,17.7872,Mite
ITA,Italy,1975,1484964.5,20.1881008148193,3941122.25,0.337566,-5.585384615384619,0.7138461538461769,1.2423076923076906,17.7872,Mite
ITA,Italy,1976,1590774,20.4029140472412,4162037,0.430024,-8.556296296296301,-15.827407407407392,2.86222222222222,17.7872,Mite
ITA,Italy,1977,1631505.625,20.4788055419922,4427910.5,0.455674,-8.11571428571429,4.322500000000019,1.2557142857142818,17.7872,Mite
ITA,Italy,1978,1684368.625,20.5631484985352,4700425,0.438233,-7.526896551724142,-0.8472413793103328,1.009655172413792,17.7872,Mite
ITA,Italy,1979,1784743,20.816478729248,4986656,0.429155,-4.627333333333336,-14.883999999999986,3.373333333333333,17.7872,Mite
ITA,Italy,1980,1845960,21.1912574768066,5219407.5,0.441732,-4.797419354838714,-10.484516129032258,-0.32580645161290533,17.7872,Mite
ITA,Italy,1981,1861544,21.2429008483887,5322758,0.587661,-3.9112500000000026,-2.0774999999999864,0.13968749999999908,17.7872,Mite
ITA,Italy,1982,1869243.25,21.3010883331299,5311164.5,0.699593,3.6448484848484792,2.2521212121212244,-0.6209090909090929,17.7872,Mite
ITA,Italy,1983,1891098.375,21.3517684936523,5248396.5,0.785508,1.674117647058818,9.640000000000017,-1.5732352941176495,17.7872,Mite
ITA,Italy,1984,1952102.375,21.3420295715332,5242477,0.907192,-4.853142857142861,-6.9262857142857115,0.890571428571425,17.7872,Mite
ITA,Italy,1985,2006723.875,21.5481414794922,5331775,0.984855,3.3413888888888845,8.286944444444458,-1.2341666666666704,17.7872,Mite
ITA,Italy,1986,2064115.75,21.7032260894775,5533473,0.769564,-0.9327027027027076,-1.2289189189189074,-1.5900000000000016,17.7872,Mite
ITA,Italy,1987,2130001.5,21.760440826416,5828317.5,0.669591,6.170526315789472,9.397105263157911,-0.3797368421052667,17.7872,Mite
ITA,Italy,1988,2219341.75,22.0065326690674,6226703,0.672847,8.097435897435895,8.045384615384648,-2.9520512820512845,17.7872,Mite
ITA,Italy,1989,2294541.5,22.1740818023682,6717462.5,0.708698,-2.888500000000004,20.74350000000001,-2.429750000000003,17.7872,Mite
ITA,Italy,1990,2340106,22.5468826293945,7275169,0.618647,-0.9741463414634168,6.949756097560979,-1.7363414634146377,17.7872,Mite
ITA,Italy,1991,2376107.25,22.9706020355225,7881985,0.64129100000000006,2.3290476190476177,4.011904761904773,-0.8847619047619073,17.7872,Mite
ITA,Italy,1992,2395930.5,22.8082695007324,8518795,0.636518,2.460465116279069,20.95302325581399,-0.22930232558139707,17.7872,Mite
ITA,Italy,1993,2375498,22.1998119354248,9074912,0.812941,6.049772727272726,31.774090909090916,-1.0352272727272762,17.7872,Mite
ITA,Italy,1994,2426595.25,21.9253311157227,9553751,0.832438,13.414888888888887,14.42622222222225,-1.6575555555555574,17.7872,Mite
ITA,Italy,1995,2496647.5,21.8745021820068,9923490,0.840975,-0.8267391304347846,0.9843478260870028,-2.1302173913043507,17.7872,Mite
ITA,Italy,1996,2530241.75,21.9094867706299,10105364,0.796762,-2.8644680851063846,-15.195319148936136,1.4874468085106365,17.7872,Mite
ITA,Italy,1997,2578967,21.9851760864258,9940056,0.879633,-0.14145833333333435,9.864791666666704,-0.6781250000000014,17.7872,Mite
ITA,Italy,1998,2625501.5,22.218282699585,9850290,0.896504,13.29163265306122,11.867551020408214,-1.4773469387755114,17.7872,Mite
