Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
EGY,Arab Republic of Egypt,2046,6.951562500000051,-1.9946874999999977,-9.375000000000112e-4,10.190312500000005,1.8425000000000296,0.009999999999999992
ETH,Ethiopia,2046,15.428437500000001,1.085937499999993,-0.1531249999999993,11.387812500000024,-1.2749999999999915,0.3462499999999995
FRA,France,2046,4.409687499999999,-0.4150000000000027,0.28656250000000005,1.3668749999999985,0.5596875000000061,0.28874999999999895
DEU,Germany,2046,2.613125,-0.31874999999999787,0.5321874999999994,0.6856249999999999,-0.7706249999999972,-0.004062499999999636
IND,India,2046,16.36375000000001,-1.8878124999999955,0.8490625000000005,13.187187499999993,-1.29843750000002,0.5112499999999969
IDN,Indonesia,2046,26.50093750000002,0.7275000000000009,0.20249999999999702,26.658437500000076,2.6465625,1.1309374999999946
IRN,Islamic Republic of Iran,2046,6.805624999999935,-3.6231249999999875,0.11562500000000009,9.308437499999997,-2.6203125000000114,-0.11750000000000016
ITA,Italy,2046,7.652187499999997,0.8725000000000023,-0.12906250000000163,6.595625000000002,-0.7434375000000024,0.453125
JPN,Japan,2046,6.251249999999995,0.33656249999999766,0.41593750000000185,6.47625,0.3359375000000018,0.7703124999999957
KEN,Kenya,2046,12.440000000000026,-1.3475000000000037,0.01374999999999904,10.38937500000003,2.014375000000001,-0.03218749999999959
KOR,Republic of Korea,2046,9.132187499999993,-1.2884375000000006,1.5703124999999964,8.157500000000006,0.4065624999999997,1.2921874999999972
MYS,Malaysia,2046,30.173437499999977,-0.2909374999999992,1.591562500000002,29.257812499999915,-0.0987499999999999,1.3787500000000001
MEX,Mexico,2046,13.240937500000001,-0.3828124999999929,-0.09500000000000064,15.338750000000005,2.684062499999989,0.08781249999999918
MAR,Morocco,2046,7.584687500000015,0.5790624999999778,0.007500000000000062,7.854999999999961,3.9825000000000017,0.16125000000000012
NGA,Nigeria,2046,18.533124999999927,0.5771874999999937,-0.004062499999999858,15.576249999999959,-0.38187499999999375,0.5075000000000003
